ἆ I
Αμμανίτις Np
Αμμαους Np
Αμμαχ Np
Αμμιδαῖοι Np
Αμμιουδ Np
ἄμμος N
ἀμμώδης A
Αμμων Np
Αμμωνι Np
ἀμνάς N
ἀμνημονέω V
ἀμνησία N
ἀμνησικακία N
ἀμνήστευτος A
ἀμνηστία N
ἀμνός N
Αμνων Np
ἄμοιρος A
ἀμόλυντος A
Αμορι Np
Αμορια Np
Αμορις Np
ἀμορίτη N
ἄμορος A
Ἀμορραία Np
Ἀμορραῖος Np
Αμορρι Np
ἄμορφος A
Αμουηλ Np
Αμουκ Np
ἄμπελος N
ἀμπελουργός N
ἀμπελών N
ἀμπλακία N
Ἀμπλίας Np
Ἀμπλιᾶτος Np
Αμραμ Np
Αμραμις Np
Αμρι Np
ἀμύγδαλον N
ἀμύθητος A
ἄμυνα N
ἀμύνω V
ἀμφιάζω V
ἀμφίασις N
ἀμφιβάλλω V
ἀμφίβληστρον N
ἀμφιβολεύς N
ἀμφιέννυμι V
ἀμφιλαφής A
Αμφιν Np
Ἀμφίπολις Np
ἀμφίταπος A
ἄμφοδον N
ἀμφοτεροδέξιος A
ἀμφότερος A
Αμωθ Np
Αμωκη Np
ἄμωμον N
ἄμωμος A
Ἀμών Np
Αμωρα Np
Ἀμώς Np
Αμωσα Np
ἄν X
Ανα Np
ἀνά P
ἀναβαθμίς N
ἀναβαθμός N
ἀναβαίνω V
ἀναβάλλω V
ἀνάβασις N
ἀναβαστάζω V
ἀναβάτης N
ἀναβιβάζω V
ἀναβιόω V
ἀναβλαστάνω V
ἀναβλέπω V
ἀνάβλεψις N
ἀναβοάω V
ἀναβολή N
ἀναβράζω V
ἀναβράσσω V
Αναβωθ Np
Αναγ Np
ἀναγγέλλω V
ἀναγινώσκω V
ἀναγκάζω V
ἀναγκαῖος A
ἀνάγκη N
ἀναγνεία N
ἀναγνωρίζω V
ἀνάγνωσις N
ἀναγνώστης N
ἀναγορεύω V
ἀναγραφή N
ἀναγράφω V
ἀνάγω V
ἀναγώγως D
ἀναδείκνυμι V
ἀνάδειξις N
ἀναδενδράς N
ἀναδέχομαι V
ἀναδίδωμι V
ἀνάδυσις N
ἀναζευγνύω V
ἀναζέω V
ἀναζητέω V
ἀναζυγή N
ἀναζώννυμι V
ἀναζωπυρέω V
Ἁναηλ Np
Αναθ Np
ἀναθάλλω V
ἀνάθεμα N
ἀναθεματίζω V
ἀνάθημα N
Αναθωθ Np
Αναθωθι Np
Αναθωθια Np
Αναθωθίτης Np
Αναια Np
ἀναίδεια N
ἀναιδής A
ἀναιδῶς D
ἀναίρεσις N
ἀναιρέω V
ἀναίτιος A
ἀναιτίως D
ἀνακαινίζω V
ἀνακαίω V
ἀνακαλέω V
ἀνακαλύπτω V
ἀνακάμπτω V
ἀνάκειμαι V
ἀνακηρύσσω V
ἀνακλάω V
ἀνακλίνω V
ἀνάκλισις N
ἀνάκλιτον N
ἀνακοινόω V
ἀνακομίζω V
ἀνακόπτω V
ἀνακράζω V
ἀνακρίνω V
ἀνάκρισις N
ἀνακρούω V
ἀνακύπτω V
ἀναλαμβάνω V
ἀναλάμπω V
ἀνάλγητος A
ἀναλέγω V
ἀνάλημμα N
ἀναλημπτέος A
ἀναλημπτήρ N
ἀνάλημψις N
ἀνάληψις N
ἀναλίσκω V
ἀναλογίζομαι V
ἀναλόγως D
ἀναλύω V
ἀνάλωσις N
Αναμ Np
ἀναμάρτητος A
Αναμεηλ Np
ἀναμένω V
ἀναμίγνυμι V
ἀναμιμνήσκω V
ἀνάμιξις N
ἀνάμνησις N
ἀναμοχλεύω V
ἀναμφισβητήτως D
Αναν Np
ἄνανδρος A
ἀνανεάζω V
Ανανεηλ Np
ἀνάνευσις N
ἀνανεύω V
ἀνανέωσις N
Ανανι Np
Ἀνανίας Np
Ἁνανιηλ Np
ἀναντία N
ἀναντλέω V
ἀναξηραίνω V
ἀνάξιος A
ἄναξις N
ἀναξίως D
ἀνάπαλιν D
ἀνάπαυμα N
ἀνάπαυσις N
ἀναπαύω V
ἀναπείθω V
ἀναπείρω V
ἀναπετάννυμι V
ἀναπηδάω V
ἀνάπηρος N A
ἀναπίπτω V
ἀναπλάσσω V
ἀναπληρόω V
ἀναπλήρωσις N
ἀναπνέω V
ἀναποδίζω V
ἀναποδισμός N
ἀναποιέω V
ἀναπτερόω V
ἀναπτέρωσις N
ἀναπτύσσω V
ἀνάπτω V
Αναρ Np
Αναρεθ Np
ἀναρίθμητος A
ἀναρπάζω V
ἀναρρήγνυμι V
Ανασιβ Np
ἀνασκάπτω V
ἀνασπάω V
Ανασσα Np
ἀνάστασις N
ἀναστατόω V
ἀναστέλλω V
ἀναστενάζω V
ἀνάστημα N
ἀναστρατοπεδεύω V
ἀναστρέφω V
ἀναστροφή N
ἀνασύρω V
ἀνασχίζω V
ἀνασώζω V
ἀνατείνω V
ἀνατέλλω V
ἀνατέμνω V
ἀνατίθημι V
ἀνατίκτω V
ἀνατιναγμός N
ἀνατολή N
Ἀνατολή Np
ἀνατρέπω V
ἀνατρέφω V
ἀνατρέχω V
ἀνατροπή N
ἀνατροφή N
ἀνατυπόω V
Αναφαθι Np
ἀναφαίνω V
ἀναφάλαντος A
ἀναφαλάντωμα N
ἀναφέρω V
ἀναφθάνω V
ἀναφορά N
ἀναφορεύς N
ἀναφράσσω V
ἀναφύω V
ἀναφωνέω V
ἀναχάσκω V
Αναχερεθ Np
ἀναχωρέω V
ἀνάψυξις N
ἀναψυχή N
ἀναψύχω V
ἀνδραγαθαέω V
ἀνδραγαθέω V
ἀνδραγαθία N
ἀνδράποδον N
Ἀνδρέας Np
ἀνδρεία N
ἀνδρεῖος A
ἀνδρειόω V
ἀνδρείως D
ἀνδρίζομαι V
ἀνδρογύναιος A
ἀνδρόγυνος A
ἀνδρολογεῖον N
Ἀνδρόνικος Np
ἀνδροφονέω V
ἀνδροφόνος A
ἀνδρόω V
ἀνδρωδῶς D
ἀνεγείρω V
ἀνέγκλητος A
ἀνείκαστος A
ἀνειλέω V
ἄνειμι V
ἀνεκλιπής A
ἀνελεημόνως D
ἀνελεήμων A N
ἀνέλπιστος A
ἀνελπίστως D
ἄνεμος N
ἀνεμοφθορία N
ἀνεμόφθορος A
ἀνεμπόδιστος A
ἀνεξέλεγκτος A
ἀνεξικακία N
ἀνεξιχνίαστος A
ἀνεπιεικής A
ἀνεπιστρέπτως D
ἀνερευνάω V
ἀνέρχομαι V
ἄνεσις N
ἀνετάζω V
ἀνέτλην V
ἄνευ P
ἀνευρίσκω V
ἀνέφικτος A
ἀνέχω V
ἀνεψιός N
ἄνηβος A
ἀνήκεστος A
ἀνήκοος A
ἀνήκω V
ἀνήλατος A
